"DateTime","Tasa de Certificado de Depósito a Término (CDT) a 90 días - Monto, diaria"
"2021/08/04",168281.66
"2021/08/05",135052.35
"2021/08/06",123524.44
"2021/08/09",204840.02
"2021/08/10",207290.12
"2021/08/11",225816.25
"2021/08/12",167315.17
"2021/08/13",121424.33
"2021/08/17",374249.41
"2021/08/18",367230.9
"2021/08/19",187817.62
"2021/08/20",108285.86
"2021/08/23",236345.53
"2021/08/24",279075.91
"2021/08/25",190938
"2021/08/26",197778.69
"2021/08/27",140404.33
"2021/08/30",195003.93
"2021/08/31",136172.84
"2021/09/01",217610.26
"2021/09/02",144830.24
"2021/09/03",224413.24
"2021/09/06",307382.93
"2021/09/07",127064.96
"2021/09/08",158508.57
"2021/09/09",210731.01
"2021/09/10",191129.13
"2021/09/13",244816.07
"2021/09/14",120143.28
"2021/09/15",199745.77
"2021/09/16",208645.02
"2021/09/17",137484.82
"2021/09/20",256065
"2021/09/21",159887.29
"2021/09/22",148230.06
"2021/09/23",205440.23
"2021/09/24",187180.31
"2021/09/27",235598.63
"2021/09/28",124916.93
"2021/09/29",184123.77
"2021/09/30",251963.24
"2021/10/01",103194.26
"2021/10/04",157685.17
"2021/10/05",98083.92
"2021/10/06",164123.26
"2021/10/07",146644.95
"2021/10/08",135864.98
"2021/10/11",193724.74
"2021/10/12",136104.43
"2021/10/13",207936.01
"2021/10/14",172390.14
"2021/10/15",120974.6
"2021/10/19",375791.48
"2021/10/20",106125.53
"2021/10/21",182371.26
"2021/10/22",123242.06
"2021/10/25",289547.67
"2021/10/26",218659.32
"2021/10/27",185665.95
"2021/10/28",197725.96
"2021/10/29",134580.69
"2021/11/02",270125.02
"2021/11/03",272288.78
"2021/11/04",166498.9
"2021/11/05",148399.27
"2021/11/08",276849.43
"2021/11/09",156515.82
"2021/11/10",189069.21
"2021/11/11",160642.29
"2021/11/12",139117.41
"2021/11/16",240906.78
"2021/11/17",190485.65
"2021/11/18",277426.51
"2021/11/19",122369.04
"2021/11/22",215489.02
"2021/11/23",176167.7
"2021/11/24",272375.41
"2021/11/25",194471.76
"2021/11/26",187281.85
"2021/11/29",181254.01
"2021/11/30",141424.88
"2021/12/01",234600.55
"2021/12/02",176608.02
"2021/12/03",252869.01
"2021/12/06",239385.01
"2021/12/07",142845.86
"2021/12/09",314911.72
"2021/12/10",206392.07
"2021/12/13",210072.71
"2021/12/14",168486.14
"2021/12/15",272616.66
"2021/12/16",227502.48
"2021/12/17",190577.68
"2021/12/20",225174.12
"2021/12/21",165187.76
"2021/12/22",335949.47
"2021/12/23",315117.16
"2021/12/24",162357.61
"2021/12/27",247822.06
"2021/12/28",185989.63
"2021/12/29",276030.57
"2021/12/30",357346.21
"2021/12/31",11667.07
"2022/01/03",177011.83
"2022/01/04",190521.75
"2022/01/05",140129.62
"2022/01/06",184534.01
"2022/01/07",208870.95
"2022/01/11",340436.06
"2022/01/12",318044.21
"2022/01/13",254280.91
"2022/01/14",140687.86
"2022/01/17",174030.26
"2022/01/18",111076.36
"2022/01/19",213217.76
"2022/01/20",127126.47
"2022/01/21",173698.04
"2022/01/24",214002.01
"2022/01/25",249604.32
"2022/01/26",243750.62
"2022/01/27",197910.14
"2022/01/28",217757.76
"2022/01/31",226479.91
"2022/02/01",103540.64
"2022/02/02",163947.91
"2022/02/03",249241.84
"2022/02/04",168326.56
"2022/02/07",214041.92
"2022/02/08",157100.98
"2022/02/09",212131.59
"2022/02/10",171754.34
"2022/02/11",199327.68
"2022/02/14",191295.57
"2022/02/15",119033.22
"2022/02/16",175923.92
"2022/02/17",172700.32
"2022/02/18",196370.04
"2022/02/21",189909.48
"2022/02/22",140965.7
"2022/02/23",300230.17
"2022/02/24",232605.32
"2022/02/25",490527.99
"2022/02/28",464013.96
"2022/03/01",405698.86
"2022/03/02",250658.2
"2022/03/03",246822.01
"2022/03/04",153004.99
"2022/03/07",296274.34
"2022/03/08",159572.03
"2022/03/09",266331.48
"2022/03/10",204637
"2022/03/11",189917.32
"2022/03/14",241450.54
"2022/03/15",220278.56
"2022/03/16",222511.51
"2022/03/17",231438.16
"2022/03/18",137588.65
"2022/03/22",388526.94
"2022/03/23",255723.69
"2022/03/24",352779.95
"2022/03/25",166563.44
"2022/03/28",313679.87
"2022/03/29",202194.26
"2022/03/30",285472.79
"2022/03/31",153013.76
"2022/04/01",235308.6
"2022/04/04",327564.59
"2022/04/05",167386.78
"2022/04/06",233465.72
"2022/04/07",328010.56
"2022/04/08",151103.54
"2022/04/11",285837.4
"2022/04/12",245317.74
"2022/04/13",256694.41
"2022/04/18",416240.16
"2022/04/19",358796.29
"2022/04/20",166672.82
"2022/04/21",206599.67
"2022/04/22",175286.78
"2022/04/25",592159.12
"2022/04/26",283395.2
"2022/04/27",309008.74
"2022/04/28",307491.78
"2022/04/29",263281.3
"2022/05/02",326671.69
"2022/05/03",340921.56
"2022/05/04",285604.52
"2022/05/05",200293.29
"2022/05/06",97594.03
"2022/05/09",653355.13
"2022/05/10",306682.15
"2022/05/11",239445.84
"2022/05/12",185084.98
"2022/05/13",138307.23
"2022/05/16",352854.55
"2022/05/17",274340.91
"2022/05/18",238034.4
"2022/05/19",221664.66
"2022/05/20",142765.32
"2022/05/23",459994.75
"2022/05/24",323288.28
"2022/05/25",312817.12
"2022/05/26",281683.48
"2022/05/27",151769.58
"2022/05/31",540588.73
"2022/06/01",397450.46
"2022/06/02",372513.38
"2022/06/03",159412.95
"2022/06/06",293635.89
"2022/06/07",314539.88
"2022/06/08",186899.43
"2022/06/09",227008.54
"2022/06/10",162790.18
"2022/06/13",259808.87
"2022/06/14",249636.38
"2022/06/15",287581.28
"2022/06/16",307618.86
"2022/06/17",187455.97
"2022/06/21",331011.74
"2022/06/22",340589.76
"2022/06/23",247454.31
"2022/06/24",326279
"2022/06/28",483388.67
"2022/06/29",307608.8
"2022/06/30",415209.72
"2022/07/01",272870.14
"2022/07/05",606301.77
"2022/07/06",285333.11
"2022/07/07",401531.57
"2022/07/08",178737.92
"2022/07/11",422982.46
"2022/07/12",276608.08
"2022/07/13",354345.55
"2022/07/14",202799.66
"2022/07/15",176178.67
"2022/07/18",455201.36
"2022/07/19",453827.56
"2022/07/21",424726.91
"2022/07/22",267530.71
"2022/07/25",715182.88
"2022/07/26",413773.76
"2022/07/27",407440.7
"2022/07/28",677557.27
"2022/07/29",313651.62
"2022/08/01",250284.02
"2022/08/02",308356.19
"2022/08/03",495474.84
"2022/08/04",402075.83
"2022/08/05",209981
"2022/08/08",312248.54
"2022/08/09",454365.07
"2022/08/10",336108.93
"2022/08/11",442717.04
"2022/08/12",233152.03
"2022/08/16",474685.13
"2022/08/17",289436.03
"2022/08/18",420778.93
"2022/08/19",342218.36
"2022/08/22",394011.29
"2022/08/23",500871.8
"2022/08/24",421274.37
"2022/08/25",580705.48
"2022/08/26",343505.48
"2022/08/29",377284.9
"2022/08/30",246143.31
"2022/08/31",320206.47
"2022/09/01",433108.91
"2022/09/02",379506.51
"2022/09/05",530585.22
"2022/09/06",405989.94
"2022/09/07",322464.12
"2022/09/08",273610.92
"2022/09/09",326418.59
"2022/09/12",406071.63
"2022/09/13",273976.17
"2022/09/14",279960.65
"2022/09/15",418397.83
"2022/09/16",322180.27
"2022/09/19",345687.84
"2022/09/20",247744.18
"2022/09/21",229670.31
"2022/09/22",298827.68
"2022/09/23",365985.64
"2022/09/26",413621.07
"2022/09/27",171928.26
"2022/09/28",286343.88
"2022/09/29",246447.32
"2022/09/30",322215.74
"2022/10/03",248730.17
"2022/10/04",246813.71
"2022/10/05",241690.75
"2022/10/06",248418.29
"2022/10/07",222198.87
"2022/10/10",307469
"2022/10/11",250328.98
"2022/10/12",199085.08
"2022/10/13",312797.21
"2022/10/14",195401.47
"2022/10/18",470050.29
"2022/10/19",296969.18
"2022/10/20",200996.26
"2022/10/21",230732.33
"2022/10/24",402240.17
"2022/10/25",494529.21
"2022/10/26",361939.34
"2022/10/27",370564.63
"2022/10/28",252359.06
"2022/10/31",241555.03
"2022/11/01",277843.89
"2022/11/02",261350.45
"2022/11/03",330380.6
"2022/11/04",211143.79
"2022/11/08",475157.43
"2022/11/09",603878.51
"2022/11/10",320185.59
"2022/11/11",258403.74
"2022/11/15",393551.42
"2022/11/16",349605.44
"2022/11/17",371687.22
"2022/11/18",216946.06
"2022/11/21",381031.47
"2022/11/22",273042.37
"2022/11/23",440501.28
"2022/11/24",319179.22
"2022/11/25",261428.72
"2022/11/28",383467.75
"2022/11/29",159801.8
"2022/11/30",212222.02
"2022/12/01",514893.95
"2022/12/02",325212
"2022/12/05",284752.32
"2022/12/06",324132.07
"2022/12/07",359538.89
"2022/12/09",386854.47
"2022/12/12",355034.78
"2022/12/13",329101.3
"2022/12/14",329508.4
"2022/12/15",395151.05
"2022/12/16",260846.04
"2022/12/19",355771.9
"2022/12/20",268531.37
"2022/12/21",357439.15
"2022/12/22",355131.31
"2022/12/23",341571.31
"2022/12/26",299697.16
"2022/12/27",331954.29
